"","repeat_id","expt","analysis_type","true_base","b_base_lower","b_base_med","b_base_upper","b_base_error","true_sex","b_sex_p_value","b_sex_lower","b_sex_med","b_sex_upper","b_sex_error","true_cond","b_cond_p_value","b_cond_lower","b_cond_med","b_cond_upper","b_cond_error","true_sex_cond","b_sex_cond_p_value","b_sex_cond_lower","b_sex_cond_med","b_sex_cond_upper","b_sex_cond_error","pub_true","pub_method","pp_n","var_pop","sample_size"
"1",1,1,"pp_linear",0,0.395328996103789,0.483742516398283,0.568862461558201,0.0425762267958159,0,NA,-0.0242787639353379,0.0779349492664819,0.182080047838369,0.0523480125071136,0,NA,-0.0855144580131668,0.0149232615245582,0.116600848125962,0.0515632557502687,1,NA,-0.0593200121541562,0.0649529036673719,0.189745732681165,0.0648959853322789,1,NA,0,0.524809733338772,60
"2",1,2,"pp_linear",0,0.438094630412938,0.51689089327598,0.595425217744712,0.0398154903308353,0,NA,-0.0466240402696657,0.0436251920427806,0.136664336416703,0.046699582526251,0,NA,-0.0861524079233381,0.0109055885291744,0.106167107202719,0.0489419309290134,1,NA,0.000318002399249634,0.107587289912951,0.20747169010866,0.0515528851523714,1,NA,1,0.524809733338772,60
"3",1,3,"pp_linear",0,0.483427933765773,0.572243997364576,0.6615658569344,0.044343420290393,0,NA,-0.119721685691884,-0.0168392770981056,0.0879666101679686,0.052582307866365,0,NA,-0.100294380194287,-0.00238034703054328,0.0942248531263961,0.051006510379856,1,NA,0.0169404785386594,0.107785552808367,0.199187713172147,0.0465115868841681,1,NA,1,0.524809733338772,60
"4",1,4,"pp_linear",0,0.422324122311865,0.496384519097038,0.573571440464452,0.0387323307243916,0,NA,-0.0142451239676107,0.0694758235055019,0.154421320191915,0.0431504220784412,0,NA,-0.036519092116637,0.0477206544761913,0.133279935513142,0.0445838034120298,1,NA,0.0359219647173293,0.111349802958488,0.190490767075409,0.0394864235350585,1,NA,1,0.524809733338772,60
"5",2,1,"pp_linear",0,0.409262013986212,0.492917407542079,0.573204180346097,0.0410434640166008,0,NA,-0.105546278650402,-0.00355626019572318,0.100024312324287,0.0514012047848408,0,NA,-0.0785574663159168,0.0233444352244847,0.121107162824376,0.0496819938921477,1,NA,0.00586995591812051,0.131407269762328,0.257207178284706,0.0643583372820821,1,NA,0,0.656538218318183,60
"6",2,2,"pp_linear",0,0.396730933645871,0.492318467006175,0.589806183394124,0.0497761077171517,0,NA,-0.110648873520757,0.00648441639295895,0.121066164712752,0.057362739813111,0,NA,-0.0467633360207322,0.065577366287634,0.175285177746225,0.0578376319262962,1,NA,0.0457005995974621,0.153308322403923,0.257963037130822,0.0536221783409503,1,NA,1,0.656538218318183,60
"7",2,3,"pp_linear",0,0.423096699382626,0.500832206824764,0.572442370178528,0.03721106343377,0,NA,-0.0960522995820203,-0.00937950947347931,0.0783678016336092,0.0458119483307384,0,NA,-0.0658232137837442,0.0161398590344668,0.100722671440374,0.0437830448894188,1,NA,0.105635120888018,0.192685173952564,0.272632916371587,0.0423035806595085,1,NA,1,0.656538218318183,60
"8",2,4,"pp_linear",0,0.469675383793717,0.558770265350311,0.653462582035512,0.0463370877322797,0,NA,-0.170396659635341,-0.0639143646908029,0.0433637236463273,0.0550039809620777,0,NA,-0.0909181286354287,0.0184543941987818,0.124669504862107,0.0542147194160225,1,NA,0.115846096900928,0.194217755968388,0.271626779137017,0.0396358159608246,1,NA,1,0.656538218318183,60
"9",1,1,"pp_linear",0,0.45285648021995,0.533415281567223,0.619919726334403,0.0427757739509776,0,NA,-0.199857609452773,-0.0912230056726128,0.011870334187602,0.053938818640343,0,NA,-0.172440645271223,-0.0699820096679809,0.0365501053963645,0.0526140365638609,-2,NA,-0.278411921477758,-0.142206983727984,-0.0116066635475465,0.0671539465218628,1,NA,0,0.828512561968089,60
"10",1,2,"pp_linear",0,0.331341031074489,0.427540175316798,0.527887744574343,0.0502151849368973,0,NA,-0.162697997204638,-0.0477707259340776,0.0624459241332444,0.0588163293060839,0,NA,-0.122323310583564,-0.00772125230434884,0.115244532750521,0.0595659303251383,-2,NA,-0.303515280566381,-0.194885455386541,-0.0838824224229405,0.0569882120104658,1,NA,1,0.828512561968089,60
"11",1,3,"pp_linear",0,0.474067015604501,0.557082423209017,0.64489957781936,0.0437630373071016,0,NA,-0.172173727141016,-0.0651197511268536,0.0398478410398503,0.0546819943777326,0,NA,-0.127540635188797,-0.0264386370276704,0.0761273067811664,0.052487709791777,-2,NA,-0.340451222185652,-0.245413686619383,-0.147113807060121,0.0489404473331004,1,NA,1,0.828512561968089,60
"12",1,4,"pp_linear",0,0.469615344352363,0.559715055915271,0.651283720898962,0.0459059393167006,0,NA,-0.13818191752691,-0.0384663876191445,0.061438217555868,0.0518409280844045,0,NA,-0.152503202212217,-0.0494911215614287,0.055251721117746,0.0537271422657719,-2,NA,-0.372775809142129,-0.283125943804468,-0.197078904261375,0.0438518702818231,1,NA,1,0.828512561968089,60
"13",2,1,"pp_linear",0,0.45944548679025,0.533021988052554,0.607522680980904,0.0373335670006305,0,NA,-0.124865201099452,-0.0361755556402073,0.0519155623188652,0.045877266659968,0,NA,-0.148894949978004,-0.0543421853904237,0.0396798182777496,0.046936336361056,-2,NA,-0.401236798954069,-0.282580516910395,-0.162891864600398,0.0606249670973609,1,NA,0,0.221023317822884,60
"14",2,2,"pp_linear",0,0.440774564316366,0.504927827827748,0.568053960382907,0.0326353434505908,0,NA,-0.131996089067197,-0.0482241719358702,0.0310810664655167,0.0408894175069543,0,NA,-0.124343685192387,-0.0411825670853347,0.0406339011742511,0.0417967685067401,-2,NA,-0.387093102854811,-0.301259466852194,-0.213465179623067,0.0452340048012076,1,NA,1,0.221023317822884,60
"15",2,3,"pp_linear",0,0.477833525902293,0.553902936802003,0.629133692345129,0.0390630128283484,0,NA,-0.125252011627557,-0.038202513805147,0.0528320891732936,0.0454085903547475,0,NA,-0.15406626147344,-0.0589299344966576,0.03345527657612,0.0470876923292478,-2,NA,-0.404107219382276,-0.32899464759915,-0.251293247626179,0.0399652624661612,1,NA,1,0.221023317822884,60
"16",2,4,"pp_linear",0,0.407415314867933,0.483804801817834,0.557771436902742,0.0382815657606021,0,NA,-0.071893476161158,0.0159553673029949,0.101994689674617,0.04401379156175,0,NA,-0.142295029228818,-0.0517772559050566,0.0367802011661593,0.045996862873023,-2,NA,-0.402146735360453,-0.333760715892173,-0.266387573378579,0.0358807436598645,1,NA,1,0.221023317822884,60
"17",1,1,"pp_linear",0,0.433558541466204,0.521090982971611,0.611375808292515,0.0439386175798528,0,NA,-0.100676246844784,0.00167076837020317,0.109123318545081,0.053480788678166,0,NA,-0.0271496683962168,0.0767323219917657,0.175762004132157,0.0528630041123144,1,NA,-0.0661297001254739,0.0583101841480994,0.19152582843911,0.0663471988167931,1,NA,0,0.776311449448134,60
"18",1,2,"pp_linear",0,0.42972254118118,0.51426608320314,0.605753309043928,0.0454393861899206,0,NA,-0.100499286619529,0.00186228537701738,0.102335518026048,0.0515953367894147,0,NA,-0.0875672274040146,0.0190857986070639,0.125688166368309,0.0543813964699071,1,NA,0.0111045912678824,0.122084545695725,0.224569554326768,0.0552206700839138,1,NA,1,0.776311449448134,60
"19",1,3,"pp_linear",0,0.358542374098656,0.45084183513611,0.544271531797766,0.0465842359199768,0,NA,-0.0934024592059111,0.0117958915207915,0.112087031438918,0.0536196577419208,0,NA,-0.0201781865929672,0.0832373899898167,0.194611037269003,0.0544445913644157,1,NA,0.077682144223944,0.171829068118078,0.262497289613232,0.0472303882177499,1,NA,1,0.776311449448134,60
"20",1,4,"pp_linear",0,0.400390941736295,0.496996724894502,0.595737192395787,0.050098207864858,0,NA,-0.0710957402675623,0.0361395736559298,0.140827240837653,0.0549381008676813,0,NA,-0.0957933643990369,0.0209161786668167,0.133391606060802,0.0578301484381152,1,NA,0.0989586745373709,0.182717325859465,0.263389895251776,0.0429881121187408,1,NA,1,0.776311449448134,60
"21",2,1,"pp_linear",0,0.443567651420534,0.536203219283901,0.621017167382297,0.0443079877781342,0,NA,-0.149225769939096,-0.0368552053408655,0.0802785510203304,0.0571783308515739,0,NA,-0.0600135881534293,0.0461203459818858,0.168687084139087,0.0553905472434589,1,NA,-0.0185058941430389,0.125263193934086,0.25736697337514,0.0707946928567078,1,NA,0,0.439690046939096,60
